location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19175,2020-02-20,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,5,-1,15.84,18.11,30.18,36.21,-9.827778,-15.522222,-3.588889,0.127,,-15.361111,64.209714
US_IA_19175,2020-02-21,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,10,6,,17.63,29.62,35.27,-3.977778,-11.211111,6.766667,0.0,,-10.188889,62.40689
US_IA_19175,2020-02-22,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,10,-16,,20.03,35.29,51.51,2.622222,-4.183333,11.538889,0.0,,-4.033333,61.766001
US_IA_19175,2020-02-23,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,13,,,14.46,35.23,35.23,5.044444,-1.977778,15.944444,0.0,,-0.594444,67.324995
US_IA_19175,2020-02-24,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,0,0,10.97,21.95,41.84,40.47,3.777778,0.016667,10.388889,0.0,,-1.516667,68.804015
US_IA_19175,2020-02-25,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,-6,3,12.66,26.66,39.99,35.99,1.761111,-0.438889,5.855556,0.0,,-2.45,73.942199
US_IA_19175,2020-02-26,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,19,1,,39.24,58.53,47.89,-1.127778,-4.555556,2.322222,0.0,,-6.25,68.509906
US_IA_19175,2020-02-27,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,7,-1,,24.5,48.29,44.09,-2.216667,-7.083333,4.055556,0.0,,-7.711111,66.258527
US_IA_19175,2020-02-28,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,17,6,13.01,19.51,34.69,37.58,-0.033333,-5.011111,5.322222,0.0,,-3.916667,75.320441
US_IA_19175,2020-02-29,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,9,-14,,19.89,26.52,39.77,0.1,-7.066667,12.888889,0.0,,-3.716667,75.674981
