location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AK_02220,2020-02-18,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,35.06,37.06,3.6,1.838889,5.588889,0.508,,1.2,87.60004
US_AK_02220,2020-02-19,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,20.22,41.4,4.066667,1.383333,5.805556,0.6858,,0.588889,80.714223
US_AK_02220,2020-02-20,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,15.89,23.83,2.633333,1.294444,4.55,4.2164,,0.488889,90.223979
US_AK_02220,2020-02-21,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,25.54,35.76,2.9,1.383333,4.266667,9.6012,,0.744444,90.336316
US_AK_02220,2020-02-22,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,25.77,38.66,1.266667,-0.3,3.416667,4.3942,,-0.8,89.751677
US_AK_02220,2020-02-23,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,22.34,37.97,1.772222,-0.172222,3.394444,2.286,50.8,-0.611111,87.372744
US_AK_02220,2020-02-24,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,27.97,43.4,-0.183333,-1.955556,2.461111,4.2164,,-2.666667,86.248328
US_AK_02220,2020-02-25,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,25.39,31.97,1.688889,-1.233333,5.022222,0.733778,,-1.277778,83.972241
US_AK_02220,2020-02-26,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,25.27,33.7,3.888889,1.688889,5.283333,4.8514,,1.455556,87.783261
US_AK_02220,2020-02-27,ChIJuWN1b4NmBFQRdBzIn0jaQSU,Q79804,geoId/02220,US,United States of America,AK,Alaska,02220,Sitka,US,USA,2,,,,,,,8641,4405,4236,1003,1069,1111,1264,1104,1184,1099,527,280,2605309,57.053333,-135.334722,8,12461,79.0,30.29,25.4,3.95,2.683333,5.483333,5.164667,,1.911111,90.411125
