location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05071,2020-02-12,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,12.34,10.35,9.55,26.67,6.37,,29.46,7.56,41.4,10.75,3.6,1.766667,5.816667,7.916333,,1.711111,87.522458
US_AR_05071,2020-02-13,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,10.2,10.2,8.92,18.69,10.62,9.77,32.28,6.37,39.93,8.07,1.3,-2.194444,5.461111,16.4465,,-2.35,76.840355
US_AR_05071,2020-02-14,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,7.25,13.59,12.68,20.38,11.32,8.15,27.17,,35.33,9.51,-2.716667,-8.744444,5.733333,0.2794,,-10.961111,53.369903
US_AR_05071,2020-02-15,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,-1,-3,-7,-6,,7.94,14.82,,20.65,8.47,15.35,30.18,,45.53,10.06,3.466667,-3.0,12.544444,0.4318,,-5.555556,52.177538
US_AR_05071,2020-02-16,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,-3,2,,1,,9.32,8.29,,22.27,10.36,9.84,38.84,10.87,51.26,9.84,8.944444,2.555556,16.05,0.0254,,2.733333,65.377849
US_AR_05071,2020-02-17,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,-1,2,,-12,,6.32,9.7,5.9,25.29,13.49,9.7,30.35,8.01,42.57,,13.127778,9.922222,16.927778,0.028222,,10.427778,83.80934
US_AR_05071,2020-02-18,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,-4,12,,4,,6.65,15.66,8.22,26.62,14.48,12.53,32.49,9.0,45.8,8.61,9.883333,5.088889,15.922222,5.660571,,6.544444,79.895422
US_AR_05071,2020-02-19,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,4,8,,2,-1,7.34,10.43,8.5,23.17,6.57,10.81,27.81,,48.66,6.18,4.433333,-1.233333,11.544444,3.048,,-3.811111,55.197621
US_AR_05071,2020-02-20,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,7,8,,-3,,6.96,11.61,10.45,17.02,,11.61,25.53,,42.56,,4.505556,0.855556,8.694444,0.85725,,-3.205556,57.574193
US_AR_05071,2020-02-21,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,0,-9,,0,,,11.99,,20.5,8.51,8.9,21.28,7.74,34.04,,-0.355556,-7.827778,7.961111,0.0508,,-10.477778,46.57547
