location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51139,2020-02-10,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,9.31,13.97,5.82,29.1,12.03,8.92,27.93,6.59,42.67,,6.6,3.194444,10.388889,2.54,0.135802,62.600486
US_VA_51139,2020-02-11,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,6.61,12.11,9.54,22.02,8.07,6.97,32.3,7.34,40.74,6.61,10.266667,6.611111,13.561111,5.799667,9.320988,94.241103
US_VA_51139,2020-02-12,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,9.83,7.94,6.05,20.04,6.43,13.61,26.47,7.94,32.52,,6.65,2.911111,11.283333,2.8956,1.203704,68.853374
US_VA_51139,2020-02-13,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,9.16,,21.98,,12.46,28.57,7.33,42.49,,8.027778,3.672222,14.727778,2.751667,6.197531,87.620511
US_VA_51139,2020-02-14,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,6.85,7.21,15.86,5.77,11.53,20.18,,30.64,,3.227778,-1.516667,9.705556,2.681111,-5.006173,55.254035
US_VA_51139,2020-02-15,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,20,-3,,-2,,8.3,10.57,7.93,13.59,6.79,5.66,26.8,8.68,35.49,5.66,-3.577778,-9.888889,3.605556,0.0,-11.314815,55.068892
US_VA_51139,2020-02-16,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,11,-1,,-4,,5.65,10.54,6.4,15.06,9.04,6.78,26.36,9.04,42.56,9.79,2.994444,-3.477778,12.038889,0.0,-6.018519,51.717008
US_VA_51139,2020-02-17,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,15,0,,-17,,10.14,12.02,9.77,14.28,6.01,9.39,28.55,10.14,44.71,9.39,5.466667,-1.666667,12.177778,0.0,-2.604938,56.757484
US_VA_51139,2020-02-18,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,8,-4,,4,,8.13,8.79,9.44,19.2,5.53,8.46,25.06,6.18,29.29,6.51,7.355556,0.916667,14.944444,0.0,0.41358,61.381513
US_VA_51139,2020-02-19,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,1,5,,4,,5.92,8.55,9.53,11.18,10.19,4.93,26.3,7.89,33.2,6.9,8.327778,2.438889,11.75,0.846667,-1.030864,51.978703
